dataset,image_id,relative_path,filename,label_name,official_split,image_height,image_width,channels,file_size,sha256,corrupt,source,original_dataset_identifier,label_id,fold
MT,MT::exp0_num_461,MT_Uneven/Imgs/exp0_num_461.jpg,exp0_num_461.jpg,Uneven,none,289,121,1,11824,a3a572cd983eeacfe4274a8d186b16104ab569c3f49315f49741805807956324,False,MagneticTile,exp0_num_461,5,-99
MT,MT::exp0_num_743,MT_Free/Imgs/exp0_num_743.jpg,exp0_num_743.jpg,Free,none,289,240,1,25185,3b36f866d07e453f8875a6513b10749a68cd5e6255cfd7304a0697131d1b4954,False,MagneticTile,exp0_num_743,4,-99
MT,MT::exp0_num_797,MT_Fray/Imgs/exp0_num_797.jpg,exp0_num_797.jpg,Fray,none,354,488,1,48268,6ac4c49bd08b5dee004dab2881d93ca13a46869abb0cd4612b49fff9aff69c4a,False,MagneticTile,exp0_num_797,3,-99
MT,MT::exp1_num_10181,MT_Free/Imgs/exp1_num_10181.jpg,exp1_num_10181.jpg,Free,none,361,494,1,41848,89319bb94a9fed8e7c46063a0137fd4cb4926e5fe05461a70db43f2798406b66,False,MagneticTile,exp1_num_10181,4,-99
MT,MT::exp1_num_10334,MT_Free/Imgs/exp1_num_10334.jpg,exp1_num_10334.jpg,Free,none,321,511,1,36637,77dfad3f5a4fcd209778674c1601aebfcb24d7255f65dddc03c61959372197a4,False,MagneticTile,exp1_num_10334,4,-99
MT,MT::exp1_num_106151,MT_Free/Imgs/exp1_num_106151.jpg,exp1_num_106151.jpg,Free,none,359,248,1,24589,6336ef34a907a039e207b580fd4c09f2890f8315eda0d8b58f8bdb1ec4bf7d3e,False,MagneticTile,exp1_num_106151,4,-99
MT,MT::exp1_num_106729,MT_Free/Imgs/exp1_num_106729.jpg,exp1_num_106729.jpg,Free,none,347,254,1,28436,4d8297c1b49d216ea05575481181c444e7790aba33b1cb9eeeddfcc3af5af432,False,MagneticTile,exp1_num_106729,4,-99
MT,MT::exp1_num_108719,MT_Blowhole/Imgs/exp1_num_108719.jpg,exp1_num_108719.jpg,Blowhole,none,373,248,1,27399,46a40cf3202c39a720ce06a2ea0f302923cc5b27e80bbeb6e30439d7140c83d9,False,MagneticTile,exp1_num_108719,0,-99
MT,MT::exp1_num_108889,MT_Blowhole/Imgs/exp1_num_108889.jpg,exp1_num_108889.jpg,Blowhole,none,373,248,1,27121,37cd2b8f217eae48c439a35fbf685ecf52dc8c85fc6530862f8e739baa7940c6,False,MagneticTile,exp1_num_108889,0,-99
MT,MT::exp1_num_10903,MT_Free/Imgs/exp1_num_10903.jpg,exp1_num_10903.jpg,Free,none,347,506,1,38959,14098e1a4ef6dfee57319140eea028a531c4f304801087f820d8e73fe2501c9c,False,MagneticTile,exp1_num_10903,4,-99
MT,MT::exp1_num_109232,MT_Uneven/Imgs/exp1_num_109232.jpg,exp1_num_109232.jpg,Uneven,none,261,593,1,44728,10f7973514ceaaf82698a97c8441d4cf0e0575af6ba851fdc58f8aee2530adb0,False,MagneticTile,exp1_num_109232,5,-99
MT,MT::exp1_num_110086,MT_Free/Imgs/exp1_num_110086.jpg,exp1_num_110086.jpg,Free,none,248,603,1,36368,1c9e4c06224cd4305a166c5d9d74089a28d5034466c4201507769c4b715be8a5,False,MagneticTile,exp1_num_110086,4,-99
MT,MT::exp1_num_11276,MT_Free/Imgs/exp1_num_11276.jpg,exp1_num_11276.jpg,Free,none,360,473,1,46899,2a2a9b948e6a95404f02f45ad234baf4d70128e42665ffaa4f65c3aeb4dba607,False,MagneticTile,exp1_num_11276,4,-99
MT,MT::exp1_num_114376,MT_Free/Imgs/exp1_num_114376.jpg,exp1_num_114376.jpg,Free,none,369,256,1,29955,40fe291b4ee37ed5dd2286dda97adb64a0ee4af3b051d9faa062e8726af484ba,False,MagneticTile,exp1_num_114376,4,-99
