dataset,image_id,label_id,label_name,official_split,fold,is_final_test,sha256
MT,MT::exp0_num_461,5,Uneven,none,4,False,a3a572cd983eeacfe4274a8d186b16104ab569c3f49315f49741805807956324
MT,MT::exp0_num_743,4,Free,none,1,False,3b36f866d07e453f8875a6513b10749a68cd5e6255cfd7304a0697131d1b4954
MT,MT::exp0_num_797,3,Fray,none,4,False,6ac4c49bd08b5dee004dab2881d93ca13a46869abb0cd4612b49fff9aff69c4a
MT,MT::exp1_num_10181,4,Free,none,0,False,89319bb94a9fed8e7c46063a0137fd4cb4926e5fe05461a70db43f2798406b66
MT,MT::exp1_num_10334,4,Free,none,4,False,77dfad3f5a4fcd209778674c1601aebfcb24d7255f65dddc03c61959372197a4
MT,MT::exp1_num_106151,4,Free,none,2,False,6336ef34a907a039e207b580fd4c09f2890f8315eda0d8b58f8bdb1ec4bf7d3e
MT,MT::exp1_num_106729,4,Free,none,0,False,4d8297c1b49d216ea05575481181c444e7790aba33b1cb9eeeddfcc3af5af432
MT,MT::exp1_num_108719,0,Blowhole,none,3,False,46a40cf3202c39a720ce06a2ea0f302923cc5b27e80bbeb6e30439d7140c83d9
MT,MT::exp1_num_108889,0,Blowhole,none,0,False,37cd2b8f217eae48c439a35fbf685ecf52dc8c85fc6530862f8e739baa7940c6
MT,MT::exp1_num_10903,4,Free,none,1,False,14098e1a4ef6dfee57319140eea028a531c4f304801087f820d8e73fe2501c9c
MT,MT::exp1_num_109232,5,Uneven,none,4,False,10f7973514ceaaf82698a97c8441d4cf0e0575af6ba851fdc58f8aee2530adb0
MT,MT::exp1_num_110086,4,Free,none,4,False,1c9e4c06224cd4305a166c5d9d74089a28d5034466c4201507769c4b715be8a5
MT,MT::exp1_num_11276,4,Free,none,2,False,2a2a9b948e6a95404f02f45ad234baf4d70128e42665ffaa4f65c3aeb4dba607
MT,MT::exp1_num_114376,4,Free,none,4,False,40fe291b4ee37ed5dd2286dda97adb64a0ee4af3b051d9faa062e8726af484ba
MT,MT::exp1_num_116270,4,Free,none,0,False,bcf17cbbfd61c3b1d20e1513428400395e91656389abbf11f297aa2e168f89a8
MT,MT::exp1_num_116934,1,Break,none,2,False,7dcd6e804296353dc022321918a8c3c09c73bfb01fb073e2119bef9ddebb1374
MT,MT::exp1_num_116949,4,Free,none,3,False,a68ffdcaf6ce402bb8a96f6f2a20b381bdcb6a64479937ccad5e5073a6c95bac
MT,MT::exp1_num_118871,4,Free,none,4,False,4ba4e636df1bb4d18517d51bbb426769e32bbda3ee7c70995d551bc1094a7012
MT,MT::exp1_num_124236,5,Uneven,none,4,False,4197de583f7f7239860202a22dfcdc74acf52019ef628317de7c3cac7d8395e0
MT,MT::exp1_num_126299,4,Free,none,3,False,81a975fbd3ab51eaacac3c6402ce79be8275310a90b159d5766bd747f10b3247
MT,MT::exp1_num_126795,4,Free,none,0,False,3ffbb2ab9a599b3ae77cd6d5c93b67570e73d6294f578ed48967ebc3dfb12812
MT,MT::exp1_num_127649,4,Free,none,4,False,9041941337e255d1b558dc0daaaaf0b83c0c38577768da0672f1a3c2b6d2fa5b
MT,MT::exp1_num_128075,4,Free,none,4,False,ebf2eb801eee10681b5c52989d2148fc5ed2a29135fb503f64f354f8b69708e9
MT,MT::exp1_num_129031,5,Uneven,none,0,False,c481e0318fa4047bd81946f834aa09de4aada3485ba72edafad04406b20150d4
MT,MT::exp1_num_129580,4,Free,none,1,False,41298012b8d44b5cbef34a4f767010832f879dbd7bd320657280030b919d09bf
MT,MT::exp1_num_13526,4,Free,none,1,False,0a5e7082a5d02c8ec927485c1f024d652b1e9c069a64f05b7547fe338ea5e724
MT,MT::exp1_num_135544,3,Fray,none,3,False,78c8c50cad8019aaf1f90eba648073925e8a940132d0b96e31e07c47a294610b
MT,MT::exp1_num_136254,3,Fray,none,4,False,5b472ac57ec7120077e05da8caafb942fa3f33058d7c2d135c7d3fa65a316ade
MT,MT::exp1_num_138599,4,Free,none,3,False,89d73067e4aae8646d0ce58c7e5e8ec0bb1b78171aa493d9fa5dd5e38802d719
MT,MT::exp1_num_139798,5,Uneven,none,1,False,60f2dcfd4235d72f352022426f7f4764cf12ee1377c258ecb6cd93201e6a0d39
MT,MT::exp1_num_143147,4,Free,none,2,False,add68398b361295e5f238f6a6e54b13811288af43700bad716af183db31911f1
MT,MT::exp1_num_144162,4,Free,none,4,False,d1e14bdd91e39ed063e8ee5d955a80f1e936a11b33ee4575667c07ad4811c21f
MT,MT::exp1_num_147928,4,Free,none,2,False,79783ff5eb88d8ce5d232c4b4d860cf51a7381a010b415f2da485c2f60a0ccce
MT,MT::exp1_num_148923,4,Free,none,1,False,f5fa16032662b1deaf04bb2a466e77d060ce0b0839bfabe35fc3ed5487c2e4e7
MT,MT::exp1_num_154549,4,Free,none,0,False,8b5f8c958d2f59c7ce194616c20e93be50d9e6f8cb0af353d613501349d6f55f
