image_id_a,image_id_b,hamming,label_a,label_b,dataset_a,dataset_b,split_a,split_b,crosses_class,crosses_official_split,category
MT::exp0_num_743,MT::exp3_num_913,0,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp0_num_797,MT::exp2_num_834,2,Fray,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp0_num_797,MT::exp3_num_853,2,Fray,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp0_num_797,MT::exp4_num_889,0,Fray,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp0_num_797,MT::exp5_num_937,0,Fray,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp0_num_797,MT::exp6_num_972,2,Fray,Fray,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_834,MT::exp3_num_853,0,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_834,MT::exp4_num_889,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_834,MT::exp5_num_937,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_834,MT::exp6_num_972,4,Free,Fray,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_853,MT::exp4_num_889,2,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_853,MT::exp5_num_937,2,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_853,MT::exp6_num_972,4,Blowhole,Fray,MT,MT,none,none,True,False,CRITICAL
MT::exp4_num_889,MT::exp5_num_937,0,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp4_num_889,MT::exp6_num_972,2,Free,Fray,MT,MT,none,none,True,False,CRITICAL
MT::exp5_num_937,MT::exp6_num_972,2,Free,Fray,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_329206,MT::exp2_num_329231,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_329206,MT::exp3_num_329247,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_329206,MT::exp5_num_329283,2,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_329231,MT::exp3_num_329247,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_329231,MT::exp5_num_329283,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_3696,MT::exp4_num_3724,8,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_3696,MT::exp5_num_3746,6,Blowhole,Blowhole,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_329247,MT::exp5_num_329283,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp4_num_3724,MT::exp5_num_3746,4,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_106151,MT::exp1_num_6984,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_106151,MT::exp2_num_313853,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_106151,MT::exp2_num_7009,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_106151,MT::exp3_num_256305,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_106151,MT::exp3_num_7023,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_106151,MT::exp4_num_106203,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_106151,MT::exp4_num_351088,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_106151,MT::exp4_num_354427,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_106151,MT::exp5_num_106221,4,Free,Free,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_106151,MT::exp5_num_7054,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_106151,MT::exp6_num_106244,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_106151,MT::exp6_num_320864,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp1_num_6984,MT::exp2_num_313853,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp2_num_7009,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_6984,MT::exp3_num_256305,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp3_num_7023,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_6984,MT::exp4_num_106203,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp4_num_262258,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp4_num_351088,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp4_num_354427,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp5_num_106221,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp5_num_296701,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp5_num_351099,6,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp5_num_7054,0,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp1_num_6984,MT::exp6_num_106244,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp1_num_6984,MT::exp6_num_320864,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_313853,MT::exp2_num_7009,6,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_313853,MT::exp3_num_256305,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp3_num_296668,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp3_num_7023,6,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_313853,MT::exp4_num_106203,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp4_num_354427,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp5_num_106221,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp5_num_296701,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp5_num_351099,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp5_num_7054,8,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_313853,MT::exp6_num_106244,6,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_313853,MT::exp6_num_320864,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp2_num_7009,MT::exp3_num_256305,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp3_num_7023,0,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_7009,MT::exp4_num_106203,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp4_num_351088,6,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp4_num_354427,8,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp5_num_106221,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp5_num_351099,4,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp5_num_7054,2,Blowhole,Blowhole,MT,MT,none,none,False,False,CRITICAL
MT::exp2_num_7009,MT::exp6_num_106244,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp2_num_7009,MT::exp6_num_320864,10,Blowhole,Free,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_256305,MT::exp3_num_7023,10,Free,Blowhole,MT,MT,none,none,True,False,CRITICAL
MT::exp3_num_256305,MT::exp4_num_106203,8,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_256305,MT::exp4_num_354427,10,Free,Free,MT,MT,none,none,False,False,REVIEW
MT::exp3_num_256305,MT::exp5_num_106221,8,Free,Free,MT,MT,none,none,False,False,REVIEW
