calibrator,epoch,loss
C1,0,0.0010381639003753662
C1,1,0.0009650861611589789
C1,2,0.0008967890171334147
C1,3,0.0008331044809892774
C1,4,0.0007738334825262427
C1,5,0.0007187330047599971
C1,6,0.0006676161428913474
C1,7,0.0006202571676112711
C1,8,0.0005764291272498667
C1,9,0.0005359256756491959
C1,10,0.0004985250416211784
C1,11,0.0004640285042114556
C1,12,0.00043223827378824353
C1,13,0.00040294710197485983
C1,14,0.00037598717608489096
C1,15,0.00035116876824758947
C1,16,0.00032833413570187986
C1,17,0.00030732271261513233
C1,18,0.0002879883104469627
C1,19,0.0002702015917748213
C1,20,0.0002538244007155299
C1,21,0.00023874655016697943
C1,22,0.00022485724184662104
C1,23,0.00021206239762250334
C1,24,0.00020026153651997447
C1,25,0.00018937019922304899
C1,26,0.00017931446200236678
C1,27,0.00017001261585392058
C1,28,0.00016142336244229227
C1,29,0.00015345450083259493
C1,30,0.0001460714847780764
C1,31,0.00013923493679612875
C1,32,0.00013286915782373399
C1,33,0.00012696339399553835
C1,34,0.00012147008965257555
C1,35,0.00011633575923042372
C1,36,0.0001115567865781486
C1,37,0.00010708890476962551
C1,38,0.00010291080980096012
C1,39,9.900638542603701e-05
C1,40,9.53543494688347e-05
C1,41,9.19224476092495e-05
C1,42,8.86950219864957e-05
C1,43,8.566321048419923e-05
C1,44,8.280851761810482e-05
C1,45,8.010635792743415e-05
C1,46,7.757247658446431e-05
C1,47,7.517020276281983e-05
C1,48,7.289554923772812e-05
C1,49,7.07521103322506e-05
C1,50,6.871413643239066e-05
C1,51,6.678646604996175e-05
C1,52,6.494575791293755e-05
C1,53,6.319037493085489e-05
C1,54,6.153443973744288e-05
C1,55,5.994612001813948e-05
C1,56,5.844033512403257e-05
C1,57,5.6992914323927835e-05
C1,58,5.561232319450937e-05
C1,59,5.429011434898712e-05
C1,60,5.30246616108343e-05
C1,61,5.1820814405800775e-05
C1,62,5.066406083642505e-05
C1,63,4.954354517394677e-05
C1,64,4.847817763220519e-05
C1,65,4.7451467253267765e-05
C1,66,4.6456949348794296e-05
C1,67,4.550310404738411e-05
C1,68,4.458870898815803e-05
C1,69,4.3695250496966764e-05
C1,70,4.2839234083658084e-05
C1,71,4.201301635475829e-05
C1,72,4.12153713114094e-05
C1,73,4.044471279485151e-05
C1,74,3.969659155700356e-05
C1,75,3.897746864822693e-05
C1,76,3.827282853308134e-05
C1,77,3.759194805752486e-05
C1,78,3.693845064844936e-05
C1,79,3.6299035855336115e-05
C1,80,3.567774183466099e-05
C1,81,3.508060399326496e-05
C1,82,3.449595169513486e-05
C1,83,3.3930216886801645e-05
C1,84,3.337737143738195e-05
C1,85,3.284425110905431e-05
C1,86,3.231878508813679e-05
C1,87,3.180257772328332e-05
C1,88,3.131212724838406e-05
C1,89,3.083095361944288e-05
C1,90,3.0355407943716273e-05
C1,91,2.9898787033744156e-05
C1,92,2.94618948828429e-05
C1,93,2.9017355700489134e-05
C1,94,2.8593751267180778e-05
C1,95,2.8184644179418683e-05
C1,96,2.7774323825724423e-05
C1,97,2.7378908271202818e-05
C1,98,2.6998381144949235e-05
C1,99,2.6611416615196504e-05
C1,100,2.6248209906043485e-05
C1,101,2.5887013180181384e-05
C1,102,2.553467493271455e-05
C1,103,2.5190394808305427e-05
C1,104,2.4851342459442094e-05
C1,105,2.4521956220269203e-05
C1,106,2.4196193407988176e-05
C1,107,2.3879289074102417e-05
C1,108,2.3565604351460934e-05
C1,109,2.3266822609002702e-05
C1,110,2.2972464648773894e-05
C1,111,2.2682937924400903e-05
C1,112,2.2401873138733208e-05
C1,113,2.211476385127753e-05
C1,114,2.184335608035326e-05
C1,115,2.1572357582044788e-05
C1,116,2.1310212105163373e-05
C1,117,2.104927261825651e-05
C1,118,2.0799614503630437e-05
C1,119,2.0551160559989512e-05
C1,120,2.03103572857799e-05
C1,121,2.0069552192580886e-05
C1,122,1.9835995772155002e-05
C1,123,1.9605258785304613e-05
C1,124,1.9380564481252804e-05
C1,125,1.9155868358211592e-05
C1,126,1.8944458133773878e-05
C1,127,1.872741268016398e-05
C1,128,1.8517614080337808e-05
C1,129,1.8305800040252507e-05
C1,130,1.8102844478562474e-05
C1,131,1.7903517800732516e-05
C1,132,1.770902053976897e-05
C1,133,1.751734089339152e-05
C1,134,1.7319620383204892e-05
C1,135,1.7137203030870296e-05
C1,136,1.695639730314724e-05
C1,137,1.678163062024396e-05
C1,138,1.6604448319412768e-05
C1,139,1.6426460206275806e-05
C1,140,1.6254509318969212e-05
C1,141,1.6087393305497244e-05
C1,142,1.592591797816567e-05
C1,143,1.576282738824375e-05
C1,144,1.5600544429617003e-05
C1,145,1.5441479263245128e-05
C1,146,1.5290472219930962e-05
C1,147,1.5134227396629285e-05
C1,148,1.49836214404786e-05
C1,149,1.483824962633662e-05
C1,150,1.4695293430122547e-05
C1,151,1.4549114894180093e-05
C1,152,1.4402535271074157e-05
C1,153,1.426320341124665e-05
C1,154,1.4126288078841753e-05
C1,155,1.3989773833600339e-05
C1,156,1.3859705177310389e-05
C1,157,1.3721982213610318e-05
C1,158,1.3600772035715636e-05
C1,159,1.3472312275553122e-05
C1,160,1.3347073036129586e-05
C1,161,1.3225459042587318e-05
C1,162,1.3097806004225276e-05
C1,163,1.2979413440916687e-05
C1,164,1.2860617061960511e-05
C1,165,1.2746653737849556e-05
C1,166,1.2631482604774646e-05
C1,167,1.2516714377852622e-05
C1,168,1.2404763765516691e-05
C1,169,1.2295633496250957e-05
C1,170,1.2188515938760247e-05
C1,171,1.2080995475116652e-05
C1,172,1.1972669199167285e-05
C1,173,1.1867162356793415e-05
C1,174,1.176689056592295e-05
C1,175,1.1666619684547186e-05
C1,176,1.1565944078029133e-05
C1,177,1.1466477189969737e-05
C1,178,1.1371038453944493e-05
C1,179,1.127116775023751e-05
C1,180,1.1174922292411793e-05
C1,181,1.1082704077125527e-05
C1,182,1.0989278962370008e-05
C1,183,1.090028126782272e-05
C1,184,1.0806452337419614e-05
C1,185,1.0713426490838174e-05
C1,186,1.062765295500867e-05
C1,187,1.0550736988079734e-05
C1,188,1.0462142199685331e-05
C1,189,1.0375158126407769e-05
