dataset,image_id,family,severity,frac_saturated,mean_abs_delta,problems
MT,MT::exp5_num_297552,defocus_blur,1,0.0253,4.337120708011711,
MT,MT::exp5_num_297552,defocus_blur,2,0.0211,6.1219723183391,
MT,MT::exp5_num_297552,defocus_blur,3,0.0,6.718059622038861,
MT,MT::exp5_num_297552,defocus_blur,4,0.0,7.433856800638807,
MT,MT::exp5_num_297552,defocus_blur,5,0.0101,7.892866648922012,
MT,MT::exp5_num_297552,motion_blur,1,0.0,5.6562084109661965,
MT,MT::exp5_num_297552,motion_blur,2,0.0,6.591712137343626,
MT,MT::exp5_num_297552,motion_blur,3,0.0167,7.127994410433857,
MT,MT::exp5_num_297552,motion_blur,4,0.0109,7.7882951823263245,
MT,MT::exp5_num_297552,motion_blur,5,0.0082,8.253243944636678,
MT,MT::exp5_num_297552,vignetting,1,0.0,13.157589166888474,
MT,MT::exp5_num_297552,vignetting,2,0.0,25.875648788927336,
MT,MT::exp5_num_297552,vignetting,3,0.0,38.59452355602875,
MT,MT::exp5_num_297552,vignetting,4,0.0035,53.00662097418153,
MT,MT::exp5_num_297552,vignetting,5,0.0809,67.16424341229704,
MT,MT::exp5_num_297552,lens_contamination,1,0.0311,0.6671213734362523,
MT,MT::exp5_num_297552,lens_contamination,2,0.0295,1.36357133351078,
MT,MT::exp5_num_297552,lens_contamination,3,0.0203,2.2342793452222516,
MT,MT::exp5_num_297552,lens_contamination,4,0.0203,3.1691342826723448,
MT,MT::exp5_num_297552,lens_contamination,5,0.0178,4.680379957412829,
MT,MT::exp5_num_297552,vibration_jitter,1,0.0234,4.488155443172745,
MT,MT::exp5_num_297552,vibration_jitter,2,0.0234,6.172261778014374,
MT,MT::exp5_num_297552,vibration_jitter,3,0.0206,7.5615184988022355,
MT,MT::exp5_num_297552,vibration_jitter,4,0.0,8.495242214532873,
MT,MT::exp5_num_297552,vibration_jitter,5,0.0217,9.368828187383551,
MT,MT::exp5_num_297552,gaussian_noise,1,0.0237,5.971802635081182,
MT,MT::exp5_num_297552,gaussian_noise,2,0.0258,11.899631798420726,
MT,MT::exp5_num_297552,gaussian_noise,3,0.0289,19.77673897613344,
MT,MT::exp5_num_297552,gaussian_noise,4,0.0393,31.436668219323927,
MT,MT::exp5_num_297552,gaussian_noise,5,0.0845,45.943156108597286,
MT,MT::exp5_num_297552,shot_noise,1,0.0297,15.717272202998847,
MT,MT::exp5_num_297552,shot_noise,2,0.0348,23.78087015349126,
MT,MT::exp5_num_297552,shot_noise,3,0.056,35.97732011356579,
MT,MT::exp5_num_297552,shot_noise,4,0.1445,51.03979793274776,
MT,MT::exp5_num_297552,shot_noise,5,0.4425,73.37281518942419,
MT,MT::exp5_num_297552,scanline_banding,1,0.0231,2.482649055097152,
