quantity,recomputed (range over rho display),published,verdict
T5 C4 vs. C2 CI lower,"[0.0106, 0.0110]",0.011,ok
T5 C4 vs. C2 CI upper,"[0.1540, 0.1586]",0.156,ok
T5 C4 vs. C2 SE ratio,"[5.2347, 5.3251]",5.28,ok
T5 C8b vs. C2 CI lower,"[0.0118, 0.0122]",0.012,ok
T5 C8b vs. C2 CI upper,"[0.1675, 0.1720]",0.169,ok
T5 C8b vs. C2 SE ratio,"[5.5020, 5.5886]",5.55,ok
T5 C4 vs. C5 CI lower,"[0.0180, 0.0184]",0.018,ok
T5 C4 vs. C5 CI upper,"[0.2302, 0.2341]",0.233,ok
T5 C4 vs. C5 SE ratio,"[6.7001, 6.7736]",6.74,ok
T5 C7q vs. C5 CI lower,"[0.0205, 0.0209]",0.021,ok
T5 C7q vs. C5 CI upper,"[0.2531, 0.2569]",0.255,ok
T5 C7q vs. C5 SE ratio,"[7.1322, 7.2022]",7.17,ok
T5 C6c vs. C2 CI lower,"[0.0306, 0.0310]",0.031,ok
T5 C6c vs. C2 CI upper,"[0.3351, 0.3382]",0.336,ok
T5 C6c vs. C2 SE ratio,"[8.6921, 8.7527]",8.72,ok
T5 C6c vs. C5 CI lower,"[0.0315, 0.0319]",0.031,ok
T5 C6c vs. C5 CI upper,"[0.3413, 0.3443]",0.341,ok
T5 C6c vs. C5 SE ratio,"[8.8130, 8.8730]",8.84,ok
T5 C8b vs. C5 CI lower,"[0.0315, 0.0319]",0.032,ok
T5 C8b vs. C5 CI upper,"[0.3413, 0.3443]",0.343,ok
T5 C8b vs. C5 SE ratio,"[8.8130, 8.8730]",8.84,ok
T5 C7q vs. C2 CI lower,"[0.0433, 0.0437]",0.044,ok
T5 C7q vs. C2 CI upper,"[0.4170, 0.4195]",0.42,ok
T5 C7q vs. C2 SE ratio,"[10.3513, 10.4055]",10.38,ok
T5 C8 vs. C5 CI lower,"[0.0740, 0.0745]",0.074,ok
T5 C8 vs. C5 CI upper,"[0.5558, 0.5575]",0.557,ok
T5 C8 vs. C5 SE ratio,"[13.6858, 13.7337]",13.71,ok
T5 C7 vs. C2 CI lower,"[0.1141, 0.1146]",0.114,ok
T5 C7 vs. C2 CI upper,"[0.6673, 0.6685]",0.668,ok
T5 C7 vs. C2 SE ratio,"[17.3263, 17.3724]",17.35,ok
T5 C8 vs. C2 CI lower,"[0.1157, 0.1162]",0.116,ok
T5 C8 vs. C2 CI upper,"[0.6708, 0.6720]",0.672,ok
T5 C8 vs. C2 SE ratio,"[17.4646, 17.5107]",17.49,ok
T5 C7 vs. C5 CI lower,"[0.1451, 0.1457]",0.146,ok
T5 C7 vs. C5 CI upper,"[0.7253, 0.7262]",0.726,ok
T5 C7 vs. C5 SE ratio,"[19.8754, 19.9223]",19.9,ok
T7 ConvNeXt-T vs C2 CI lower,"[0.0180, 0.0184]",0.018,ok
T7 ConvNeXt-T vs C2 SE ratio,"[6.7001, 6.7736]",6.7,ok
T7 ResNet-50 vs C2 CI lower,"[0.0272, 0.0276]",0.028,ok
T7 ResNet-50 vs C2 SE ratio,"[8.1966, 8.2597]",8.2,ok
T7 DINOv2 ViT-S/14 vs C2 CI lower,"[0.0349, 0.0354]",0.035,ok
T7 DINOv2 ViT-S/14 vs C2 SE ratio,"[9.2856, 9.3435]",9.3,ok
T7 ViT-B/16 vs C2 CI lower,"[0.0371, 0.0375]",0.037,ok
T7 ViT-B/16 vs C2 SE ratio,"[9.5731, 9.6299]",9.6,ok
T7 EfficientNet-B0 vs C2 CI lower,"[0.0411, 0.0415]",0.042,ok
T7 EfficientNet-B0 vs C2 SE ratio,"[10.0775, 10.1326]",10.1,ok
T7 ConvNeXt-T vs C5 CI lower,"[0.0122, 0.0127]",0.012,ok
T7 ConvNeXt-T vs C5 SE ratio,"[5.5886, 5.6741]",5.6,ok
T7 ViT-B/16 vs C5 CI lower,"[0.0122, 0.0127]",0.013,ok
T7 ViT-B/16 vs C5 SE ratio,"[5.5886, 5.6741]",5.6,ok
T7 ResNet-50 vs C5 CI lower,"[0.0135, 0.0139]",0.014,ok
T7 ResNet-50 vs C5 SE ratio,"[5.8417, 5.9241]",5.8,ok
T7 EfficientNet-B0 vs C5 CI lower,"[0.0242, 0.0247]",0.025,ok
T7 EfficientNet-B0 vs C5 SE ratio,"[7.7445, 7.8102]",7.8,ok
T7 DINOv2 ViT-S/14 vs C5 CI lower,"[0.0285, 0.0289]",0.029,ok
T7 DINOv2 ViT-S/14 vs C5 SE ratio,"[8.3848, 8.4469]",8.4,ok
T10 Frozen probe/paired NLL (C4 vs. C2) CI lower,"[0.0272, 0.0276]",0.028,ok
T10 Frozen probe/paired NLL (C4 vs. C2) CI upper,"[0.3094, 0.3127]",0.312,ok
T10 Frozen probe/paired NLL (C4 vs. C2) SE ratio,"[8.1966, 8.2597]",8.2,ok
T10 Frozen probe/accuracy deficit CI lower,"[0.0745, 0.0750]",0.075,ok
T10 Frozen probe/accuracy deficit CI upper,"[0.5575, 0.5592]",0.558,ok
T10 Frozen probe/accuracy deficit SE ratio,"[13.7337, 13.7815]",13.7,ok
T10 Fine-tuned/accuracy deficit CI lower,"[0.1499, 0.1504]",0.15,ok
T10 Fine-tuned/accuracy deficit CI upper,"[0.7326, 0.7336]",0.733,ok
T10 Fine-tuned/accuracy deficit SE ratio,"[20.2507, 20.2977]",20.3,ok
T8 Magnetic Tile SE ratio min,"[4.9939, 5.1315]",5.0,ok
T8 Magnetic Tile SE ratio max,"[25.4291, 25.4870]",25.4,ok
T6 C4 vs. C2 rho_family,0.0997,0.101,ok
T6 C4 vs. C2 ratio Eq(2),8.3076,8.37,ok
T6 C4 vs. C5 rho_family,0.0537,0.054,ok
